station_ID,year, gear_time,depth_m,gear_lat,gear_long,agv_GT10um ,avg_LT10um,avg_totalchla,avg_ratio
20030101039,2003,9/3/03 15:19,118,55.540,-165.982,0.066,NA,1.260,0.13
20030101040,2003,9/3/03 19:25,132,55.043,-165.984,0.076,NA,1.769,0.04
20030101041,2003,9/3/03 23:38,471,54.545,-166.004,0.624,NA,2.596,0.25
20030101042,2003,9/4/03 4:52,69,54.722,-165.009,0.396,NA,1.451,0.29
20030101043,2003,9/4/03 15:03,92,54.961,-164.988,0.454,NA,1.607,0.29
20030101044,2003,9/4/03 17:29,107,55.211,-164.974,0.155,NA,1.458,0.22
20030101045,2003,9/4/03 19:51,105,55.457,-164.994,0.595,NA,2.325,0.35
20030101046,2003,9/4/03 22:13,98,55.711,-165.013,0.501,NA,0.951,0.53
20030101047,2003,9/5/03 0:41,94,55.956,-164.988,0.584,NA,1.373,0.51
20030101048,2003,9/5/03 3:05,90,56.208,-164.993,0.480,NA,1.099,0.39
20030101049,2003,9/5/03 15:03,78,56.451,-165.007,0.789,NA,1.405,0.40
20030101050,2003,9/5/03 17:38,72,56.712,-165.000,2.008,NA,2.694,0.71
20030101051,2003,9/5/03 20:13,68,56.964,-164.983,0.455,NA,1.183,0.37
20030101052,2003,9/5/03 22:34,60,57.212,-164.981,0.459,NA,0.974,0.52
20030101053,2003,9/6/03 1:15,63,57.460,-164.990,0.353,NA,1.146,0.37
20030101054,2003,9/6/03 3:39,53,57.704,-164.710,0.275,NA,0.938,0.37
20030101055,2003,9/6/03 15:05,46,57.959,-164.982,0.316,NA,0.610,0.54
20030101056,2003,9/6/03 17:26,42,58.210,-164.998,0.233,NA,1.253,0.19
20030101057,2003,9/6/03 19:52,38,58.460,-164.984,0.544,NA,1.701,0.27
20030101058,2003,9/6/03 22:06,32,58.710,-164.981,0.667,NA,1.894,0.35
20030101059,2003,9/7/03 0:31,24,59.001,-164.998,0.609,NA,1.581,0.39
20030101060,2003,9/7/03 3:28,19,59.250,-164.996,0.555,NA,1.230,0.45
20030101061,2003,9/7/03 15:42,25,59.001,-164.000,NA,NA,2.152,NA
20030101062,2003,9/7/03 18:13,29,58.784,-164.006,0.731,NA,1.351,0.54
20030101063,2003,9/7/03 20:23,32,58.542,-163.994,2.980,NA,2.442,0.84
20030101064,2003,9/7/03 22:39,38,58.294,-163.986,0.073,NA,2.121,0.11
20030101065,2003,9/8/03 1:08,42,58.037,-163.998,0.271,NA,0.959,0.24
20030101066,2003,9/8/03 3:50,46,57.757,-163.910,0.265,NA,NA,NA
20030101067,2003,9/8/03 15:15,49,57.527,-163.943,0.324,NA,1.486,0.22
20030101068,2003,9/8/03 17:47,61,57.278,-163.939,0.237,NA,0.576,0.54
20030101069,2003,9/8/03 20:22,65,57.021,-163.933,0.270,NA,0.804,0.54
20030101070,2003,9/8/03 23:02,69,56.772,-163.936,0.272,NA,0.831,0.23
20030101071,2003,9/9/03 1:42,78,56.524,-163.939,0.546,NA,1.277,0.38
20030101072,2003,9/9/03 15:31,88,56.293,-163.987,0.320,NA,0.881,0.35
20030101073,2003,9/9/03 17:56,88,56.041,-164.020,0.318,NA,0.939,0.34
20030101074,2003,9/9/03 20:21,90,55.791,-164.012,0.482,NA,1.126,0.41
20030101075,2003,9/9/03 22:49,88,55.544,-164.002,0.738,NA,2.963,0.38
20030101076,2003,9/10/03 1:23,72,55.295,-164.013,0.991,NA,2.159,0.53
20030101077,2003,9/10/03 15:31,30,55.419,-163.015,3.635,NA,4.713,0.77
20030101078,2003,9/10/03 20:12,78,55.793,-163.020,0.803,NA,1.306,0.63
20030101079,2003,9/11/03 0:08,80,56.041,-163.026,0.179,NA,0.603,0.34
20030101080,2003,9/11/03 2:58,80,56.213,-162.982,0.178,NA,0.470,0.41
20030101081,2003,9/11/03 15:30,78,56.523,-163.009,0.411,NA,1.324,0.32
20030101082,2003,9/11/03 18:06,68,56.709,-162.986,0.261,NA,0.905,0.40
20030101083,2003,9/11/03 20:24,60,56.959,-162.989,0.330,NA,1.195,0.34
20030101084,2003,9/11/03 22:52,50,57.210,-162.988,0.625,NA,1.244,0.47
20030101085,2003,9/12/03 1:13,47,57.459,-162.987,0.766,NA,1.274,0.61
20030101086,2003,9/12/03 15:28,41,57.713,-162.959,0.174,NA,1.253,0.14
20030101087,2003,9/12/03 17:45,39,57.965,-162.968,0.717,NA,1.346,0.48
20030101088,2003,9/12/03 20:07,35,58.215,-162.965,2.379,NA,3.311,0.64
20030101089,2003,9/12/03 23:05,26,58.545,-163.016,2.758,NA,2.788,0.99
20030101090,2003,9/13/03 2:15,22,58.776,-163.045,0.403,NA,NA,NA
20030101091,2003,9/13/03 15:30,34,58.524,-162.085,2.247,NA,4.986,0.50
20030101092,2003,9/13/03 18:27,42,58.270,-162.072,3.510,NA,4.531,0.73
20030101093,2003,9/13/03 21:01,37,58.021,-162.067,3.114,NA,4.271,0.67
20030101094,2003,9/13/03 23:04,41,57.767,-162.074,0.755,NA,1.474,0.45
20030101095,2003,9/14/03 1:37,48,57.523,-162.072,0.297,NA,0.822,0.35
20030101096,2003,9/14/03 4:10,48,57.271,-162.073,0.311,NA,0.961,0.32
20030101097,2003,9/14/03 15:29,56,57.023,-162.072,0.168,NA,0.540,0.37
20030101098,2003,9/14/03 18:28,70,56.793,-162.022,0.149,NA,0.674,0.38
20030101099,2003,9/14/03 20:54,66,56.543,-162.021,0.282,NA,0.671,0.45
20030101100,2003,9/14/03 23:29,82,56.291,-162.014,0.674,NA,1.165,0.53
20030101101,2003,9/15/03 1:54,53,56.043,-161.995,1.155,NA,1.907,0.59
20030101102,2003,9/15/03 15:32,59,56.522,-160.939,0.349,NA,0.573,0.63
20030101103,2003,9/15/03 19:20,65,56.766,-160.927,0.352,NA,0.606,0.61
20030101104,2003,9/23/03 22:36,60,58.014,-166.979,0.218,NA,1.857,0.12
20030101105,2003,9/24/03 1:46,63,58.010,-167.427,0.164,NA,1.097,0.28
20030101106,2003,9/24/03 4:24,64,58.005,-167.919,1.297,NA,3.020,0.43
20030101107,2003,9/24/03 16:10,66,58.032,-168.442,0.244,NA,1.356,0.38
20030101108,2003,9/24/03 18:56,68,58.031,-168.953,0.382,NA,2.464,0.16
20030101109,2003,9/24/03 21:43,66,58.038,-169.468,0.236,NA,0.739,0.45
20030101110,2003,9/25/03 0:29,68,58.038,-169.957,0.329,NA,0.951,0.35
20030101111,2003,9/25/03 3:27,73,58.038,-170.463,0.348,NA,0.757,0.47
20030101112,2003,9/25/03 17:06,73,59.042,-170.977,0.250,NA,0.670,0.37
20030101113,2003,9/25/03 20:25,67,59.045,-170.485,0.284,NA,0.827,0.45
20030101114,2003,9/25/03 23:38,61,59.044,-169.987,1.219,NA,2.652,0.46
20030101115,2003,9/26/03 2:45,56,59.045,-169.494,0.627,NA,1.156,0.53
20030101116,2003,9/26/03 16:09,50,59.003,-169.083,0.487,NA,1.485,0.33
20030101117,2003,9/26/03 18:36,44,59.004,-168.582,0.619,NA,1.131,0.56
20030101119,2003,9/26/03 23:46,38,59.005,-167.568,0.999,NA,1.723,0.57
20030101120,2003,9/27/03 2:11,35,59.007,-167.075,1.552,NA,1.590,0.98
20030101121,2003,9/27/03 16:12,23,60.007,-168.010,2.153,NA,2.572,0.84
20030101122,2003,9/27/03 18:42,34,60.006,-168.416,1.252,NA,1.733,0.72
20030101123,2003,9/27/03 21:03,38,60.009,-168.920,1.061,NA,1.583,0.66
20030101125,2003,9/28/03 1:43,51,60.021,-169.927,0.476,NA,1.021,0.55
20030101127,2003,10/2/03 16:34,58,61.021,-171.580,0.822,NA,1.321,0.66
20030101128,2003,10/2/03 19:19,53,61.027,-171.073,0.242,NA,0.762,0.38
20030101129,2003,10/2/03 21:45,49,61.031,-170.569,0.312,NA,0.819,0.45
20030101130,2003,10/3/03 0:07,45,61.023,-170.075,0.352,NA,1.097,0.36
20030101131,2003,10/3/03 2:25,40,61.018,-169.583,0.735,NA,2.001,0.37
20030101132,2003,10/3/03 16:44,35,61.005,-169.092,1.043,NA,1.702,0.61
20030101133,2003,10/3/03 19:08,31,61.002,-168.580,0.726,NA,1.594,0.46
20030101134,2003,10/3/03 21:24,26,61.005,-168.086,1.394,NA,2.149,0.64
20030101135,2003,10/3/03 23:30,22,61.002,-167.583,0.992,NA,1.735,0.57
20030101136,2003,10/4/03 2:13,20,61.003,-167.093,1.511,NA,2.061,0.73
20030101137,2003,10/4/03 16:35,22,61.991,-166.920,0.711,NA,1.609,0.44
20030101138,2003,10/4/03 18:46,23,62.001,-167.420,0.541,NA,1.264,0.43
20030101139,2003,10/4/03 20:45,25,62.001,-167.915,0.403,NA,1.058,0.38
20030101140,2003,10/4/03 22:51,28,62.000,-168.415,0.641,NA,1.236,0.52
20030101141,2003,10/5/03 1:06,34,62.002,-168.913,0.592,NA,1.310,0.45
20030101142,2003,10/5/03 3:28,39,62.001,-169.413,0.769,NA,1.405,0.56
20030101143,2003,10/5/03 17:38,18,63.044,-166.017,0.286,NA,1.208,0.24
20030101144,2003,10/5/03 20:15,19,63.045,-166.497,0.120,NA,0.687,0.16
20030101145,2003,10/5/03 22:50,22,63.042,-166.988,0.058,NA,0.293,0.21
20030101146,2003,10/6/03 1:39,31,63.045,-167.513,0.080,NA,0.291,0.28
20030101147,2003,10/6/03 4:26,21,63.036,-168.023,0.198,NA,0.429,0.46
20030101148,2003,10/8/03 16:57,62,60.024,-172.573,0.477,NA,1.003,0.48
20030101149,2003,10/8/03 19:25,62,60.021,-172.077,1.099,NA,1.714,0.64
20030101150,2003,10/8/03 22:02,63,60.021,-171.572,0.781,NA,1.064,0.67
20030101151,2003,10/9/03 0:57,66,60.017,-171.036,0.325,NA,0.680,0.29
20030101345,2003,8/30/03 12:00,,57.928,-165.960,0.413,NA,1.918,0.22
20030101356,2003,9/2/03 17:12,65,57.399,-166.017,1.464,NA,2.585,0.57
20030101523,2003,9/5/03 23:57,65,57.278,-165.014,0.421,NA,1.020,0.44
20040101001,2004,8/14/04 16:51,105,55.005,-165.000,0.098,NA,0.697,0.14
20040101002,2004,8/15/04 16:11,65,56.498,-160.999,2.088,NA,3.434,0.56
20040101003,2004,8/15/04 21:05,47,56.666,-160.001,0.752,NA,2.035,0.41
20040101004,2004,8/16/04 1:45,33,57.000,-159.169,2.076,NA,3.167,0.70
20040101005,2004,8/16/04 5:45,45,57.500,-159.001,2.106,NA,2.941,0.79
20040101006,2004,8/16/04 15:06,42,58.000,-159.001,0.694,NA,3.014,0.30
20040101007,2004,8/16/04 19:25,48,58.000,-160.000,0.968,NA,2.551,0.42
20040101008,2004,8/16/04 23:21,55,57.500,-160.001,1.292,NA,2.896,0.46
20040101009,2004,8/17/04 3:27,60,57.000,-159.999,0.651,NA,1.489,0.41
20040101010,2004,8/17/04 15:05,65,56.999,-160.999,0.302,NA,1.145,0.31
20040101011,2004,8/17/04 18:57,59,57.500,-161.000,0.498,NA,1.043,0.48
20040101012,2004,8/17/04 22:40,44,58.000,-161.001,0.311,NA,1.945,0.22
20040101013,2004,8/18/04 4:06,36,58.500,-161.999,0.421,NA,2.011,0.19
20040101014,2004,8/18/04 14:55,37,58.000,-161.998,0.425,NA,1.423,0.30
20040101015,2004,8/18/04 19:13,47,57.501,-161.999,0.258,NA,1.995,0.27
20040101016,2004,8/18/04 23:30,62,57.001,-162.000,0.158,NA,1.704,0.19
20040101017,2004,8/19/04 3:41,71,56.500,-161.999,1.824,NA,2.746,0.64
20040101018,2004,8/19/04 14:57,43,55.500,-163.004,0.795,NA,2.856,0.34
20040101019,2004,8/19/04 18:47,86,56.000,-162.999,1.506,NA,2.445,0.58
20040101020,2004,8/19/04 22:42,80,56.500,-163.001,0.349,NA,1.011,0.33
20040101021,2004,8/20/04 2:44,62,56.999,-163.003,0.471,NA,1.315,0.36
20040101022,2004,8/20/04 14:57,50,57.500,-163.003,0.157,NA,0.491,0.40
20040101023,2004,8/20/04 18:44,40,58.000,-163.002,0.495,NA,2.060,0.27
20040101024,2004,8/20/04 22:42,32,58.500,-163.000,0.970,NA,2.078,0.36
20040101025,2004,8/21/04 3:57,26,59.000,-164.001,0.859,NA,2.108,0.38
20040101026,2004,8/21/04 14:59,26,59.000,-164.997,0.548,NA,1.933,0.27
20040101027,2004,8/21/04 19:23,40,58.501,-164.999,0.429,NA,1.481,0.34
20040101028,2004,8/21/04 23:55,48,58.002,-164.999,0.338,NA,1.063,0.31
20040101029,2004,8/24/04 3:29,36,58.499,-164.000,1.008,NA,2.771,0.36
20040101030,2004,8/24/04 15:02,46,58.000,-163.999,0.838,NA,1.795,0.50
20040101031,2004,8/24/04 19:14,52,57.500,-164.000,0.271,NA,0.835,0.36
20040101032,2004,8/24/04 23:32,69,57.001,-163.999,0.236,NA,0.769,0.35
20040101033,2004,8/25/04 3:29,82,56.500,-164.000,0.811,NA,1.951,0.45
20040101034,2004,8/25/04 14:59,91,56.000,-164.002,0.304,NA,1.195,0.19
20040101035,2004,8/25/04 19:01,92,55.500,-164.001,0.071,NA,1.339,0.05
20040101036,2004,8/26/04 0:12,108,55.500,-165.000,0.054,NA,0.899,0.08
20040101037,2004,8/26/04 4:21,96,55.999,-165.001,0.113,NA,1.461,0.10
20040101038,2004,8/26/04 14:57,80,56.500,-165.000,0.355,NA,0.722,0.48
20040101039,2004,8/26/04 19:26,70,56.999,-165.002,0.196,NA,0.530,0.41
20040101040,2004,8/26/04 23:30,64,57.501,-165.000,0.212,NA,1.379,0.25
20040101041,2004,8/27/04 5:02,67,57.500,-166.000,0.452,NA,0.813,0.54
20040101042,2004,8/27/04 14:56,57,58.004,-166.007,0.240,NA,1.472,0.16
20040101043,2004,8/27/04 19:32,45,58.510,-166.002,2.240,NA,3.356,0.65
20040101044,2004,8/28/04 0:00,30,59.002,-166.001,1.415,NA,3.445,0.40
20040101045,2004,8/28/04 4:16,24,59.500,-166.002,5.699,NA,7.214,0.74
20040101046,2004,8/28/04 14:56,46,59.502,-167.005,2.106,NA,3.117,0.87
20040101047,2004,8/28/04 18:43,37,59.000,-167.001,5.022,NA,6.075,0.83
20040101048,2004,8/28/04 22:30,44,58.501,-167.002,0.345,NA,1.089,0.31
20040101049,2004,8/29/04 2:34,64,58.000,-167.001,0.551,NA,1.276,0.52
20040101050,2004,8/29/04 15:04,70,57.502,-167.004,0.389,NA,1.189,0.56
20040101051,2004,8/29/04 19:04,74,57.000,-167.001,0.422,NA,0.988,0.44
20040101052,2004,8/29/04 23:22,73,57.001,-166.001,0.398,NA,0.762,0.58
20040101053,2004,8/30/04 3:20,88,56.499,-166.000,0.600,NA,1.313,0.47
20040101054,2004,8/30/04 14:58,116,56.001,-166.000,0.106,NA,1.036,0.09
20040101055,2004,8/30/04 18:57,122,55.500,-166.000,0.021,NA,1.248,0.03
20040101056,2004,8/30/04 22:52,138,55.001,-165.999,0.017,NA,2.347,0.01
20040101057,2004,8/31/04 3:44,516,54.502,-165.999,0.557,NA,2.792,0.25
20040101058,2004,9/1/04 1:16,138,55.500,-167.002,0.023,NA,1.378,0.02
20040101059,2004,9/1/04 5:13,136,55.999,-166.993,0.100,NA,1.232,0.06
20040101060,2004,9/1/04 14:56,106,56.502,-166.999,0.542,NA,1.223,0.44
20040101061,2004,9/1/04 19:41,118,56.500,-168.000,0.256,NA,1.267,0.21
20040101062,2004,9/1/04 23:43,79,57.000,-168.001,0.220,NA,0.561,0.44
20040101063,2004,9/2/04 3:34,71,57.501,-168.002,2.449,NA,2.630,0.94
20040101064,2004,9/2/04 14:56,68,58.002,-168.001,0.753,NA,1.402,0.57
20040101065,2004,9/2/04 19:08,54,58.502,-168.002,0.308,NA,1.321,0.31
20040101066,2004,9/2/04 23:11,41,59.000,-168.001,3.595,NA,4.772,0.77
20040101067,2004,9/3/04 3:58,37,59.500,-168.001,1.438,NA,2.559,0.55
20040101068,2004,9/3/04 14:56,44,59.499,-169.004,0.466,NA,1.914,0.27
20040101069,2004,9/3/04 19:01,51,59.001,-169.001,0.923,NA,1.732,0.56
20040101070,2004,9/3/04 23:40,65,58.501,-169.000,1.059,NA,0.804,0.84
20040101071,2004,9/4/04 3:32,71,58.001,-169.002,0.856,NA,1.349,0.63
20040101072,2004,9/4/04 14:58,70,57.498,-169.001,3.934,NA,4.318,0.84
20040101073,2004,9/4/04 19:22,80,57.001,-168.999,2.262,NA,2.714,0.80
20040101074,2004,9/5/04 0:47,67,57.000,-169.999,3.884,NA,4.629,0.81
20040101075,2004,9/5/04 4:57,68,57.500,-169.999,2.332,NA,3.910,0.81
20040101076,2004,9/6/04 17:47,71,58.000,-170.000,0.180,NA,0.814,0.26
20040101077,2004,9/6/04 21:30,70,58.499,-169.999,1.828,NA,2.526,0.73
20040101078,2004,9/7/04 1:43,66,58.999,-169.999,1.411,NA,1.958,0.72
20040101079,2004,9/7/04 16:27,83,58.498,-170.990,0.155,NA,0.606,0.30
20040101080,2004,9/7/04 20:26,77,59.001,-170.999,0.822,NA,1.293,0.63
20040101081,2004,9/8/04 0:40,73,59.501,-170.998,0.395,NA,1.189,0.44
20040101082,2004,9/10/04 21:39,20,64.075,-164.654,NA,NA,1.334,NA
20040101083,2004,9/11/04 3:40,23,64.107,-163.006,1.321,NA,2.210,0.66
20040101084,2004,9/11/04 15:02,22,64.040,-166.045,0.361,NA,1.840,0.16
20040101085,2004,9/11/04 19:45,32,64.015,-167.011,0.691,NA,1.080,0.51
20040101086,2004,9/12/04 0:26,36,64.002,-167.998,0.487,NA,1.089,0.35
20040101087,2004,9/12/04 15:07,35,64.028,-169.021,1.220,NA,1.957,0.63
20040101088,2004,9/12/04 20:01,34,64.006,-170.005,1.514,NA,2.107,0.66
20040101089,2004,9/13/04 1:18,25,64.003,-171.005,0.102,NA,0.467,0.22
20040101090,2004,9/13/04 5:36,53,64.001,-172.000,0.100,NA,0.488,0.22
20040101091,2004,9/13/04 14:56,75,62.998,-174.000,0.039,NA,0.636,0.07
20040101092,2004,9/13/04 18:28,67,63.000,-172.996,0.070,NA,0.672,0.12
20040101093,2004,9/13/04 21:59,55,63.002,-172.001,0.156,NA,0.622,0.27
20040101094,2004,9/14/04 1:21,47,63.001,-171.004,0.123,NA,0.808,0.20
20040101095,2004,9/14/04 14:57,30,62.999,-169.001,0.516,NA,3.122,0.25
20040101096,2004,9/14/04 18:40,24,63.006,-168.010,0.151,NA,1.167,0.13
20040101097,2004,9/14/04 22:53,25,63.002,-166.998,0.253,NA,1.367,0.18
20040101098,2004,9/15/04 4:07,19,63.018,-165.814,1.185,NA,2.482,0.40
20040101099,2004,9/15/04 15:02,25,63.531,-166.012,0.445,NA,1.556,0.27
20040101100,2004,9/15/04 19:02,25,63.503,-167.003,0.123,NA,1.227,0.11
20040101101,2004,9/15/04 23:18,32,63.501,-168.002,0.124,NA,1.246,0.11
20040101102,2004,9/16/04 3:41,36,63.576,-168.966,0.102,NA,1.127,0.09
20040101103,2004,9/16/04 15:01,33,62.532,-167.033,0.478,NA,1.347,0.35
20040101104,2004,9/16/04 19:27,28,62.503,-168.008,0.090,NA,1.030,0.09
20040101105,2004,9/16/04 23:42,32,62.501,-169.000,0.496,NA,0.804,0.66
20040101106,2004,9/17/04 3:18,36,62.500,-170.000,0.194,NA,0.706,0.27
20040101107,2004,9/17/04 15:00,43,62.502,-171.022,0.136,NA,0.715,0.20
20040101108,2004,9/17/04 18:28,49,62.505,-171.998,1.021,NA,1.777,0.43
20040101109,2004,9/17/04 22:05,61,62.500,-173.000,0.204,NA,0.663,0.31
20040101111,2004,9/19/04 15:05,65,62.018,-173.973,0.274,NA,0.700,0.35
20040101112,2004,9/19/04 19:51,58,62.003,-173.003,2.575,NA,3.053,0.72
20040101113,2004,9/19/04 23:58,53,62.002,-172.000,0.479,NA,1.032,0.49
20040101114,2004,9/20/04 4:21,50,62.000,-171.004,0.242,NA,1.037,0.25
20040101115,2004,9/20/04 14:58,44,61.999,-170.010,0.127,NA,1.001,0.19
20040101116,2004,9/20/04 18:48,37,62.002,-169.000,0.077,NA,0.640,0.14
20040101117,2004,9/20/04 22:49,28,62.001,-168.000,0.767,NA,2.098,0.37
20040101118,2004,9/21/04 2:08,30,62.001,-167.003,1.390,NA,2.318,0.61
20040101119,2004,9/21/04 15:13,23,61.482,-167.140,0.717,NA,2.227,0.34
20040101120,2004,9/21/04 19:06,28,61.501,-168.000,0.989,NA,2.075,0.48
20040101121,2004,9/23/04 14:58,36,61.501,-169.002,0.789,NA,1.918,0.42
20040101122,2004,9/23/04 18:55,46,61.501,-170.003,0.645,NA,1.142,0.58
20040101123,2004,9/23/04 22:20,50,61.502,-171.000,0.300,NA,1.034,0.33
20040101124,2004,9/24/04 2:16,59,61.501,-171.999,0.268,NA,0.937,0.45
20040101125,2004,9/24/04 15:01,68,61.503,-172.998,0.162,NA,0.714,0.25
20040101126,2004,9/24/04 19:17,69,61.005,-173.003,0.241,NA,0.735,0.39
20040101127,2004,9/24/04 23:48,63,61.001,-171.999,0.216,NA,0.764,0.35
20040101128,2004,9/25/04 4:15,55,61.000,-171.002,0.543,NA,1.575,0.42
20040101129,2004,9/25/04 15:01,47,61.007,-169.999,0.348,NA,1.430,0.24
20040101130,2004,9/25/04 19:14,36,61.001,-169.004,2.658,NA,3.655,0.73
20040101131,2004,9/25/04 23:30,28,61.001,-168.004,2.557,NA,4.057,0.62
20040101132,2004,9/26/04 3:23,22,60.998,-166.998,3.288,NA,4.319,0.76
20040101133,2004,9/27/04 15:02,28,60.515,-168.035,2.122,NA,3.086,0.69
20040101134,2004,9/27/04 20:08,38,60.502,-169.011,2.701,NA,3.922,0.69
20040101135,2004,9/28/04 0:44,49,60.501,-170.001,1.098,NA,1.751,0.60
20040101136,2004,9/28/04 5:37,64,60.505,-171.006,0.969,NA,2.091,0.55
20040101137,2004,9/28/04 15:46,26,60.005,-168.003,2.731,NA,3.810,0.72
20040101138,2004,9/28/04 19:45,42,60.002,-169.000,1.152,NA,3.619,0.32
20040101139,2004,9/28/04 23:28,55,60.001,-170.000,0.661,NA,1.384,0.46
20040101141,2004,9/30/04 17:00,67,60.001,-172.000,0.692,NA,1.900,0.47
20040101142,2004,9/30/04 22:04,70,60.000,-173.004,0.757,NA,2.435,0.47
20040101143,2004,10/1/04 3:30,79,59.501,-172.004,1.344,NA,3.675,0.34
20040101645,2004,9/2/04 17:25,65,58.291,-168.009,0.625,NA,2.637,0.24
20040101656,2004,9/2/04 20:30,50,58.600,-168.017,0.429,NA,1.461,0.34
20040101690,2004,9/3/04 21:31,54,58.800,-168.900,0.385,NA,1.668,0.27
20040101778,2004,9/7/04 0:06,68,58.733,-170.000,1.104,NA,2.205,0.53
20050101001,2005,8/14/05 21:42,43,55.502,-162.998,2.799,NA,4.965,0.53
20050101002,2005,8/15/05 14:56,66,56.502,-160.990,0.858,NA,1.264,0.65
20050101003,2005,8/15/05 19:06,64,57.000,-161.000,0.396,NA,1.061,0.38
20050101004,2005,8/16/05 0:34,60,57.003,-160.000,0.534,NA,0.741,0.74
20050101005,2005,8/16/05 14:58,47,57.505,-158.997,1.271,NA,1.773,0.69
20050101006,2005,8/16/05 19:05,42,58.001,-158.997,1.517,NA,2.355,0.64
20050101007,2005,8/16/05 22:53,46,57.999,-160.005,3.563,NA,3.071,0.76
20050101008,2005,8/17/05 3:12,55,57.502,-159.999,1.532,NA,2.538,0.59
20050101009,2005,8/17/05 14:59,59,57.501,-161.002,0.696,NA,1.771,0.39
20050101010,2005,8/17/05 20:43,47,57.999,-161.141,2.375,NA,3.420,0.52
20050101011,2005,8/17/05 23:20,37,58.002,-162.005,2.254,NA,3.217,0.61
20050101012,2005,8/18/05 3:31,36,58.499,-162.001,1.737,NA,3.606,0.49
20050101013,2005,8/18/05 14:57,48,57.501,-162.004,0.908,NA,1.690,0.40
20050101014,2005,8/18/05 19:06,62,57.000,-162.004,1.502,NA,2.290,0.59
20050101015,2005,8/18/05 22:49,70,56.499,-161.999,1.091,NA,3.403,0.63
20050101016,2005,8/19/05 2:47,55,56.009,-161.988,2.116,NA,3.000,0.67
20050101017,2005,8/19/05 14:56,86,56.000,-163.002,1.498,NA,2.228,0.66
20050101018,2005,8/19/05 19:59,80,56.500,-163.006,0.719,NA,1.383,0.49
20050101019,2005,8/20/05 1:53,62,56.999,-163.002,0.598,NA,1.136,0.55
20050101020,2005,8/20/05 14:59,50,57.501,-163.002,2.053,NA,2.667,0.71
20050101021,2005,8/20/05 19:28,40,58.001,-163.004,2.507,NA,3.409,0.71
20050101022,2005,8/20/05 23:56,31,58.498,-163.009,2.745,NA,3.860,0.70
20050101023,2005,8/21/05 14:56,26,59.006,-164.000,0.783,NA,1.944,0.40
20050101024,2005,8/21/05 19:34,38,58.501,-164.003,1.235,NA,2.328,0.53
20050101025,2005,8/21/05 23:24,46,57.999,-164.012,1.971,NA,2.472,0.73
20050101026,2005,8/22/05 3:23,52,57.501,-163.999,1.593,NA,2.448,0.63
20050101027,2005,8/22/05 14:59,64,57.501,-164.992,0.765,NA,1.732,0.49
20050101028,2005,8/22/05 18:46,48,57.999,-164.994,0.817,NA,1.614,0.56
20050101029,2005,8/22/05 22:45,41,58.498,-164.996,0.777,NA,1.673,0.45
20050101030,2005,8/23/05 2:52,26,59.000,-164.999,1.929,NA,2.220,0.71
20050101031,2005,8/23/05 15:17,23,59.499,-166.001,1.486,NA,2.281,0.65
20050101032,2005,8/24/05 20:10,31,59.001,-166.000,1.283,NA,2.340,0.55
